gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
mgtS,14972.462130201793,7.819433731060188,0.31133858983822627,2.108651807221256e-140,6.59797150479531e-137
ymgL,17.659699374023106,7.53076834408874,2.747125413334616,2.8396543341125667e-6,2.5605989658323407e-5
mgtA,3789.3824902394167,7.126566431350496,0.3930053178463357,9.555804256383798e-75,9.966703839408302e-72
ymgK,236.84603705035187,6.927959838392869,0.6241126494451882,6.259229702350596e-29,5.021828138116671e-27
iraM,205.1532470618319,6.707585006159856,0.6273138849996555,4.0938294730417516e-27,2.7846940045973133e-25
mgtL,11342.304923733367,6.614234962883298,0.4285707946855401,1.18005262277919e-54,5.27483522382298e-52
ydeT,28.944459226390535,6.331688480512982,1.4253884982548715,6.389716044092845e-6,5.3315790671910696e-5
ydeS,9.663662286733604,6.256474412298807,2.7622446042386746,1.1466947792111407e-4,7.475016591982623e-4
asr,332.56617057479434,5.908108590584397,0.48465298152665987,3.8044283998680463e-35,4.960023526327965e-33
ybjG,1315.1348858980439,5.776802796112139,0.34807942558331967,4.3739786074575476e-63,3.4215447656836667e-60
mgrB,6552.83106413409,5.679967575823164,0.3100750201329914,3.9972957298255236e-76,6.253769169312032e-73
phnD,25.858894248854988,5.339931501774607,1.1699789838198427,1.7117954034549181e-6,1.6084708160391706e-5
yebO,1871.517355643715,5.099635995571519,0.32811903916468477,1.2318239689833303e-55,6.423961998248067e-53
yriB,18.18726994623016,4.716135822348704,1.241980651235362,3.121801418910441e-5,2.303801094285559e-4
phnC,17.353457346508108,4.629299358777082,1.2537718328300549,4.473117411057152e-5,3.180996449817688e-4
pstS,274.7864246557492,4.412775863788505,0.40737233421418495,1.93417686912777e-28,1.4761071764636077e-26
yfeO,91.19887448466712,4.311075788263182,0.5572351676613934,1.212080096162395e-15,2.809332311771951e-14
ydgU,24.42231198780766,4.310857322876471,0.9923998078978328,1.9977510392784584e-6,1.8493973378409163e-5
dgcZ,61.8646293975326,4.290077189651203,0.6442317461538379,3.402869015325777e-12,6.325642105581007e-11
pgpC,397.22893892894024,4.242725822306113,0.3711232460432438,2.382459874166232e-31,2.2590051352321636e-29
ygdR,155.3887255930655,4.185842004938329,0.4604972359851282,9.920938789227228e-21,3.337915857149677e-19
