strain,fluorescence,stress,type
wild_type,1453.5541,No_stress,Phos
wild_type,4036.7273,No_stress,Phos
wild_type,1098.1781,No_stress,Phos
wild_type,1581.0728,No_stress,Phos
wild_type,1390.3385,No_stress,Phos
wild_type,1118.8422,No_stress,Phos
wild_type,1741.4932,No_stress,Phos
wild_type,1518.2037,No_stress,Phos
wild_type,965.1392,No_stress,Phos
wild_type,1047.9524,No_stress,Phos
wild_type,2712.027,No_stress,Phos
wild_type,2855.3906,No_stress,Phos
wild_type,2373.257,No_stress,Phos
wild_type,1493.193,No_stress,Phos
wild_type,1062.2295,No_stress,Phos
wild_type,953.1579,No_stress,Phos
wild_type,1036.7593,No_stress,Phos
wild_type,2257.3167,No_stress,Phos
wild_type,2028.1562,No_stress,Phos
wild_type,1058.2808,No_stress,Phos
wild_type,1045.1968,No_stress,Phos
wild_type,1102.2794,No_stress,Phos
wild_type,2741.1775,No_stress,Phos
wild_type,1488.4921,No_stress,Phos
wild_type,2683.137,No_stress,Phos
wild_type,1814.1167,No_stress,Phos
wild_type,1935.1904,No_stress,Phos
wild_type,1105.8286,No_stress,Phos
wild_type,2323.419,No_stress,Phos
wild_type,2259.7324,No_stress,Phos
wild_type,1592.8524,No_stress,Phos
wild_type,3192.8333,No_stress,Phos
wild_type,1575.9857,No_stress,Phos
wild_type,3087.228,No_stress,Phos
wild_type,2086.4194,No_stress,Phos
wild_type,1400.8125,No_stress,Phos
wild_type,1677.8613,No_stress,Phos
wild_type,1717.3582,No_stress,Phos
wild_type,1163.9474,No_stress,Phos
wild_type,1539.2452,No_stress,Phos
wild_type,1567.8857,No_stress,Phos
wild_type,1446.6809,No_stress,Phos
wild_type,1123.3,No_stress,Phos
wild_type,1718.7015,No_stress,Phos
wild_type,1129.1702,No_stress,Phos
wild_type,1759.2778,No_stress,Phos
wild_type,1774.2203,No_stress,Phos
wild_type,2497.8477,No_stress,Phos
wild_type,1855.0952,No_stress,Phos
wild_type,946.1573,No_stress,Phos
wild_type,1924.2267,No_stress,Phos
wild_type,1601.4133,No_stress,Phos
wild_type,1374.9259,No_stress,Phos
wild_type,789.61646,No_stress,Phos
wild_type,918.0417,No_stress,Phos
wild_type,2399.182,No_stress,Phos
wild_type,2844.203,No_stress,Phos
wild_type,2054.7163,No_stress,Phos
wild_type,908.0706,No_stress,Phos
wild_type,1753.2344,No_stress,Phos
wild_type,851.931,No_stress,Phos
wild_type,2773.3635,No_stress,Phos
wild_type,1870.9365,No_stress,Phos
wild_type,2418.9915,No_stress,Phos
wild_type,1658.6781,No_stress,Phos
wild_type,2137.673,No_stress,Phos
wild_type,1272.1395,No_stress,Phos
wild_type,2889.507,No_stress,Phos
wild_type,755.78687,No_stress,Phos
wild_type,3562.7068,No_stress,Phos
wild_type,1808.6395,No_stress,Phos
wild_type,3888.127,No_stress,Phos
wild_type,2051.0508,No_stress,Phos
wild_type,2391.054,No_stress,Phos
wild_type,1378.5741,No_stress,Phos
wild_type,1380.0741,No_stress,Phos
wild_type,1071.0986,No_stress,Phos
wild_type,1697.7207,No_stress,Phos
wild_type,1614.8193,No_stress,Phos
wild_type,1747.4429,No_stress,Phos
wild_type,1027.5,No_stress,Phos
wild_type,1530.4867,No_stress,Phos
wild_type,1725.4814,No_stress,Phos
wild_type,1505.2031,No_stress,Phos
wild_type,1709.88,No_stress,Phos
wild_type,3266.845,No_stress,Phos
wild_type,3070.0508,No_stress,Phos
wild_type,1885.2211,No_stress,Phos
wild_type,1156.9663,No_stress,Phos
wild_type,2813.1528,No_stress,Phos
wild_type,1646.8195,No_stress,Phos
wild_type,1496.6119,No_stress,Phos
wild_type,1804.1449,No_stress,Phos
wild_type,1569.2329,No_stress,Phos
wild_type,1060.2949,No_stress,Phos
wild_type,892.7,No_stress,Phos
wild_type,1310.3253,No_stress,Phos
wild_type,1755.7576,No_stress,Phos
