strain,fluorescence,stress
wild_type,914.2663,No_stress
wild_type,999.40985,No_stress
wild_type,889.53625,No_stress
wild_type,802.08856,No_stress
wild_type,774.5051,No_stress
wild_type,703.47205,No_stress
wild_type,731.4572,No_stress
wild_type,843.06995,No_stress
wild_type,761.8808,No_stress
wild_type,1022.5918,No_stress
wild_type,773.29156,No_stress
wild_type,783.9329,No_stress
wild_type,958.50934,No_stress
wild_type,839.3657,No_stress
wild_type,908.93494,No_stress
wild_type,804.76996,No_stress
wild_type,1104.8514,No_stress
wild_type,773.82007,No_stress
wild_type,750.43054,No_stress
wild_type,708.9407,No_stress
wild_type,689.38306,No_stress
wild_type,728.67523,No_stress
wild_type,794.43097,No_stress
wild_type,697.4326,No_stress
wild_type,890.0141,No_stress
wild_type,858.4441,No_stress
wild_type,715.15686,No_stress
wild_type,704.6374,No_stress
wild_type,891.83514,No_stress
wild_type,776.5668,No_stress
wild_type,927.55194,No_stress
wild_type,668.5919,No_stress
wild_type,690.8451,No_stress
wild_type,1213.9663,No_stress
wild_type,840.96716,No_stress
wild_type,913.97015,No_stress
wild_type,765.3048,No_stress
wild_type,778.4515,No_stress
wild_type,713.08563,No_stress
wild_type,653.4624,No_stress
wild_type,822.6667,No_stress
wild_type,854.68286,No_stress
wild_type,959.351,No_stress
wild_type,870.81006,No_stress
wild_type,836.5041,No_stress
wild_type,676.33594,No_stress
wild_type,734.17004,No_stress
wild_type,1010.6592,No_stress
wild_type,1298.0931,No_stress
wild_type,837.98895,No_stress
wild_type,711.27313,No_stress
wild_type,672.82837,No_stress
wild_type,797.2749,No_stress
wild_type,724.45715,No_stress
wild_type,859.9234,No_stress
wild_type,776.79846,No_stress
wild_type,1277.5311,No_stress
wild_type,924.3228,No_stress
wild_type,1035.447,No_stress
wild_type,772.5261,No_stress
wild_type,952.65546,No_stress
wild_type,911.0678,No_stress
wild_type,776.6549,No_stress
wild_type,756.56226,No_stress
wild_type,809.2761,No_stress
wild_type,789.4701,No_stress
wild_type,929.8067,No_stress
wild_type,1007.0323,No_stress
wild_type,742.42993,No_stress
wild_type,954.5509,No_stress
wild_type,801.6056,No_stress
wild_type,676.92914,No_stress
wild_type,823.8704,No_stress
wild_type,725.61884,No_stress
wild_type,760.2387,No_stress
wild_type,898.95197,No_stress
wild_type,713.69696,No_stress
wild_type,756.4808,No_stress
wild_type,711.3632,No_stress
wild_type,868.6786,No_stress
wild_type,681.61884,No_stress
wild_type,1053.3552,No_stress
wild_type,809.57916,No_stress
wild_type,899.11005,No_stress
wild_type,872.2955,No_stress
wild_type,907.8439,No_stress
wild_type,840.209,No_stress
wild_type,879.13684,No_stress
wild_type,978.58655,No_stress
wild_type,682.9231,No_stress
wild_type,861.4311,No_stress
wild_type,799.4481,No_stress
wild_type,754.6667,No_stress
wild_type,683.19,No_stress
wild_type,845.967,No_stress
wild_type,678.1875,No_stress
wild_type,953.5813,No_stress
wild_type,840.5813,No_stress
wild_type,1078.685,No_stress
wild_type,698.2705,No_stress
wild_type,1020.6412,No_stress
wild_type,1460.5258,No_stress
wild_type,696.0097,No_stress
wild_type,704.2824,No_stress
wild_type,734.4385,No_stress
wild_type,784.9536,No_stress
wild_type,687.4524,No_stress
wild_type,731.83936,No_stress
wild_type,912.1989,No_stress
wild_type,888.41174,No_stress
wild_type,834.2,No_stress
wild_type,878.2216,No_stress
wild_type,722.7461,No_stress
wild_type,750.63104,No_stress
wild_type,791.39594,No_stress
wild_type,991.48956,No_stress
wild_type,667.77295,No_stress
wild_type,802.04456,No_stress
wild_type,649.9347,No_stress
wild_type,1224.887,No_stress
wild_type,1105.2634,No_stress
wild_type,1097.3586,No_stress
wild_type,709.3081,No_stress
