strain,fluorescence,stress
wild_type,3021.3796,low_Mg
wild_type,3179.217,low_Mg
wild_type,3510.6033,low_Mg
wild_type,3550.4788,low_Mg
wild_type,3595.3772,low_Mg
wild_type,3595.4685,low_Mg
wild_type,3597.72,low_Mg
wild_type,3620.2432,low_Mg
wild_type,3674.5806,low_Mg
wild_type,3790.63,low_Mg
wild_type,3802.414,low_Mg
wild_type,3814.1494,low_Mg
wild_type,3830.245,low_Mg
wild_type,3864.9058,low_Mg
wild_type,3875.18,low_Mg
wild_type,3877.7932,low_Mg
wild_type,3885.1074,low_Mg
wild_type,3915.8896,low_Mg
wild_type,3956.5098,low_Mg
wild_type,3960.2703,low_Mg
wild_type,3961.4053,low_Mg
wild_type,4005.3928,low_Mg
wild_type,4008.6895,low_Mg
wild_type,4029.5,low_Mg
wild_type,4075.3481,low_Mg
wild_type,4078.0735,low_Mg
wild_type,4082.9023,low_Mg
wild_type,4095.597,low_Mg
wild_type,4095.601,low_Mg
wild_type,4131.683,low_Mg
wild_type,4206.327,low_Mg
wild_type,4231.9434,low_Mg
wild_type,4237.72,low_Mg
wild_type,4240.04,low_Mg
wild_type,4255.1655,low_Mg
wild_type,4269.2915,low_Mg
wild_type,4278.5337,low_Mg
wild_type,4283.2637,low_Mg
wild_type,4294.3076,low_Mg
wild_type,4307.678,low_Mg
wild_type,4325.6094,low_Mg
wild_type,4332.6885,low_Mg
wild_type,4351.17,low_Mg
wild_type,4366.183,low_Mg
wild_type,4374.9,low_Mg
wild_type,4395.5674,low_Mg
wild_type,4417.9795,low_Mg
wild_type,4422.1685,low_Mg
wild_type,4448.6187,low_Mg
wild_type,4457.3877,low_Mg
wild_type,4465.9473,low_Mg
wild_type,4470.1416,low_Mg
wild_type,4481.15,low_Mg
wild_type,4482.371,low_Mg
wild_type,4489.7085,low_Mg
wild_type,4510.31,low_Mg
wild_type,4515.081,low_Mg
wild_type,4525.125,low_Mg
wild_type,4538.1304,low_Mg
wild_type,4543.4595,low_Mg
wild_type,4555.1133,low_Mg
wild_type,4555.9263,low_Mg
wild_type,4558.9893,low_Mg
wild_type,4588.872,low_Mg
wild_type,4592.6323,low_Mg
wild_type,4601.957,low_Mg
wild_type,4618.847,low_Mg
wild_type,4619.1104,low_Mg
wild_type,4621.313,low_Mg
wild_type,4651.526,low_Mg
wild_type,4651.821,low_Mg
wild_type,4657.991,low_Mg
wild_type,4664.0254,low_Mg
wild_type,4666.6177,low_Mg
wild_type,4667.9907,low_Mg
wild_type,4668.4746,low_Mg
wild_type,4683.625,low_Mg
wild_type,4690.338,low_Mg
wild_type,4716.345,low_Mg
wild_type,4743.9194,low_Mg
wild_type,4747.2134,low_Mg
wild_type,4749.63,low_Mg
wild_type,4758.3247,low_Mg
wild_type,4766.59,low_Mg
wild_type,4770.2354,low_Mg
wild_type,4773.1216,low_Mg
wild_type,4787.4346,low_Mg
wild_type,4822.5483,low_Mg
wild_type,4824.7627,low_Mg
wild_type,4828.717,low_Mg
wild_type,4844.609,low_Mg
wild_type,4856.563,low_Mg
wild_type,4861.018,low_Mg
wild_type,4882.931,low_Mg
wild_type,4888.141,low_Mg
wild_type,4895.4966,low_Mg
wild_type,4910.6504,low_Mg
wild_type,4913.633,low_Mg
wild_type,4971.6123,low_Mg
wild_type,4972.185,low_Mg
wild_type,4987.5054,low_Mg
wild_type,4993.5767,low_Mg
wild_type,5002.0093,low_Mg
wild_type,5032.3877,low_Mg
wild_type,5045.246,low_Mg
wild_type,5049.713,low_Mg
wild_type,5094.5283,low_Mg
