hour,replicate,vector,OD
0,1,pEmpty,0.122
0,2,pEmpty,0.137
0,3,pEmpty,0.145
0,4,pEmpty,0.146
0,5,pEmpty,0.142
0,6,pEmpty,0.148
0,7,pEmpty,0.145
0,8,pEmpty,0.125
0,1,pYoaI,0.123
0,2,pYoaI,0.138
0,3,pYoaI,0.143
0,4,pYoaI,0.144
0,5,pYoaI,0.15
0,6,pYoaI,0.148
0,7,pYoaI,0.148
0,8,pYoaI,0.123
1,1,pEmpty,0.154
1,2,pEmpty,0.158
1,3,pEmpty,0.155
1,4,pEmpty,0.155
1,5,pEmpty,0.157
1,6,pEmpty,0.159
1,7,pEmpty,0.155
1,8,pEmpty,0.159
1,1,pYoaI,0.12
1,2,pYoaI,0.121
1,3,pYoaI,0.121
1,4,pYoaI,0.121
1,5,pYoaI,0.121
1,6,pYoaI,0.123
1,7,pYoaI,0.122
1,8,pYoaI,0.119
2,1,pEmpty,0.177
2,2,pEmpty,0.182
2,3,pEmpty,0.191
2,4,pEmpty,0.187
2,5,pEmpty,0.185
2,6,pEmpty,0.185
2,7,pEmpty,0.178
2,8,pEmpty,0.183
2,1,pYoaI,0.112
2,2,pYoaI,0.115
2,3,pYoaI,0.116
2,4,pYoaI,0.115
2,5,pYoaI,0.117
2,6,pYoaI,0.118
2,7,pYoaI,0.114
2,8,pYoaI,0.113
3,1,pEmpty,0.256
3,2,pEmpty,0.263
3,3,pEmpty,0.269
3,4,pEmpty,0.272
3,5,pEmpty,0.283
3,6,pEmpty,0.282
3,7,pEmpty,0.264
3,8,pEmpty,0.278
3,1,pYoaI,0.11
3,2,pYoaI,0.11
3,3,pYoaI,0.112
3,4,pYoaI,0.112
3,5,pYoaI,0.113
3,6,pYoaI,0.115
3,7,pYoaI,0.111
3,8,pYoaI,0.11
4,1,pEmpty,0.412
4,2,pEmpty,0.474
4,3,pEmpty,0.408
4,4,pEmpty,0.478
4,5,pEmpty,0.41
4,6,pEmpty,0.415
4,7,pEmpty,0.421
4,8,pEmpty,0.427
4,1,pYoaI,0.109
4,2,pYoaI,0.11
4,3,pYoaI,0.112
4,4,pYoaI,0.111
4,5,pYoaI,0.113
4,6,pYoaI,0.114
4,7,pYoaI,0.111
4,8,pYoaI,0.109
5,1,pEmpty,0.543
5,2,pEmpty,0.571
5,3,pEmpty,0.507
5,4,pEmpty,0.514
5,5,pEmpty,0.513
5,6,pEmpty,0.513
5,7,pEmpty,0.503
5,8,pEmpty,0.527
5,1,pYoaI,0.107
5,2,pYoaI,0.108
5,3,pYoaI,0.111
5,4,pYoaI,0.11
5,5,pYoaI,0.112
5,6,pYoaI,0.113
5,7,pYoaI,0.11
5,8,pYoaI,0.109
6,1,pEmpty,0.537
6,2,pEmpty,0.598
6,3,pEmpty,0.595
6,4,pEmpty,0.501
6,5,pEmpty,0.596
6,6,pEmpty,0.576
6,7,pEmpty,0.539
6,8,pEmpty,0.54
6,1,pYoaI,0.107
6,2,pYoaI,0.107
6,3,pYoaI,0.11
6,4,pYoaI,0.11
6,5,pYoaI,0.111
6,6,pYoaI,0.112
6,7,pYoaI,0.11
6,8,pYoaI,0.108
7,1,pEmpty,0.549
7,2,pEmpty,0.501
7,3,pEmpty,0.506
7,4,pEmpty,0.519
7,5,pEmpty,0.52
7,6,pEmpty,0.6
7,7,pEmpty,0.618
7,8,pEmpty,0.636
7,1,pYoaI,0.107
7,2,pYoaI,0.106
7,3,pYoaI,0.111
7,4,pYoaI,0.11
7,5,pYoaI,0.111
7,6,pYoaI,0.112
7,7,pYoaI,0.11
7,8,pYoaI,0.109
8,1,pEmpty,0.649
8,2,pEmpty,0.614
8,3,pEmpty,0.631
8,4,pEmpty,0.636
8,5,pEmpty,0.643
8,6,pEmpty,0.623
8,7,pEmpty,0.645
8,8,pEmpty,0.634
8,1,pYoaI,0.107
8,2,pYoaI,0.107
8,3,pYoaI,0.112
8,4,pYoaI,0.111
8,5,pYoaI,0.111
8,6,pYoaI,0.111
8,7,pYoaI,0.112
8,8,pYoaI,0.109
9,1,pEmpty,0.687
9,2,pEmpty,0.631
9,3,pEmpty,0.642
9,4,pEmpty,0.655
9,5,pEmpty,0.661
9,6,pEmpty,0.643
9,7,pEmpty,0.68
9,8,pEmpty,0.683
9,1,pYoaI,0.108
9,2,pYoaI,0.106
9,3,pYoaI,0.117
9,4,pYoaI,0.115
9,5,pYoaI,0.111
9,6,pYoaI,0.111
9,7,pYoaI,0.122
9,8,pYoaI,0.108
10,1,pEmpty,0.696
10,2,pEmpty,0.648
10,3,pEmpty,0.666
10,4,pEmpty,0.674
10,5,pEmpty,0.674
10,6,pEmpty,0.653
10,7,pEmpty,0.697
10,8,pEmpty,0.721
10,1,pYoaI,0.114
10,2,pYoaI,0.106
10,3,pYoaI,0.137
10,4,pYoaI,0.127
10,5,pYoaI,0.111
10,6,pYoaI,0.111
10,7,pYoaI,0.152
10,8,pYoaI,0.108
11,1,pEmpty,0.636
11,2,pEmpty,0.665
11,3,pEmpty,0.676
11,4,pEmpty,0.677
11,5,pEmpty,0.681
11,6,pEmpty,0.659
11,7,pEmpty,0.612
11,8,pEmpty,0.715
11,1,pYoaI,0.134
11,2,pYoaI,0.106
11,3,pYoaI,0.172
11,4,pYoaI,0.155
11,5,pYoaI,0.112
11,6,pYoaI,0.115
11,7,pYoaI,0.204
11,8,pYoaI,0.112
12,1,pEmpty,0.709
12,2,pEmpty,0.678
12,3,pEmpty,0.665
12,4,pEmpty,0.665
12,5,pEmpty,0.678
12,6,pEmpty,0.667
12,7,pEmpty,0.726
12,8,pEmpty,0.831
12,1,pYoaI,0.177
12,2,pYoaI,0.107
12,3,pYoaI,0.253
12,4,pYoaI,0.211
12,5,pYoaI,0.117
12,6,pYoaI,0.136
12,7,pYoaI,0.303
12,8,pYoaI,0.129
13,1,pEmpty,0.709
13,2,pEmpty,0.665
13,3,pEmpty,0.642
13,4,pEmpty,0.656
13,5,pEmpty,0.662
13,6,pEmpty,0.662
13,7,pEmpty,0.71
13,8,pEmpty,0.851
13,1,pYoaI,0.27
13,2,pYoaI,0.27
13,3,pYoaI,0.347
13,4,pYoaI,0.307
13,5,pYoaI,0.13
13,6,pYoaI,0.166
13,7,pYoaI,0.403
13,8,pYoaI,0.403
14,1,pEmpty,0.756
14,2,pEmpty,0.7
14,3,pEmpty,0.652
14,4,pEmpty,0.663
14,5,pEmpty,0.665
14,6,pEmpty,0.655
14,7,pEmpty,0.708
14,8,pEmpty,0.862
14,1,pYoaI,0.356
14,2,pYoaI,0.356
14,3,pYoaI,0.615
14,4,pYoaI,0.416
14,5,pYoaI,0.207
14,6,pYoaI,0.207
14,7,pYoaI,0.631
14,8,pYoaI,0.631
15,1,pEmpty,0.764
15,2,pEmpty,0.656
15,3,pEmpty,0.654
15,4,pEmpty,0.665
15,5,pEmpty,0.665
15,6,pEmpty,0.656
15,7,pEmpty,0.709
15,8,pEmpty,0.874
15,1,pYoaI,0.491
15,2,pYoaI,0.491
15,3,pYoaI,0.683
15,4,pYoaI,0.657
15,5,pYoaI,0.189
15,6,pYoaI,0.262
15,7,pYoaI,0.662
15,8,pYoaI,0.662
16,1,pEmpty,0.765
16,2,pEmpty,0.651
16,3,pEmpty,0.657
16,4,pEmpty,0.664
16,5,pEmpty,0.664
16,6,pEmpty,0.656
16,7,pEmpty,0.702
16,8,pEmpty,0.88
16,1,pYoaI,0.618
16,2,pYoaI,0.618
16,3,pYoaI,0.668
16,4,pYoaI,0.648
16,5,pYoaI,0.253
16,6,pYoaI,0.308
16,7,pYoaI,0.678
16,8,pYoaI,0.678
17,1,pEmpty,0.792
17,2,pEmpty,0.656
17,3,pEmpty,0.666
17,4,pEmpty,0.668
17,5,pEmpty,0.672
17,6,pEmpty,0.665
17,7,pEmpty,0.718
17,8,pEmpty,0.86
17,1,pYoaI,0.691
17,2,pYoaI,0.691
17,3,pYoaI,0.674
17,4,pYoaI,0.653
17,5,pYoaI,0.33
17,6,pYoaI,0.341
17,7,pYoaI,0.699
17,8,pYoaI,0.699
18,1,pEmpty,0.805
18,2,pEmpty,0.661
18,3,pEmpty,0.664
18,4,pEmpty,0.666
18,5,pEmpty,0.668
18,6,pEmpty,0.666
18,7,pEmpty,0.727
18,8,pEmpty,0.88
18,1,pYoaI,0.704
18,2,pYoaI,0.691
18,3,pYoaI,0.67
18,4,pYoaI,0.654
18,5,pYoaI,0.653
18,6,pYoaI,0.674
18,7,pYoaI,0.716
18,8,pYoaI,0.699
19,1,pEmpty,0.819
19,2,pEmpty,0.656
19,3,pEmpty,0.661
19,4,pEmpty,0.66
19,5,pEmpty,0.669
19,6,pEmpty,0.667
19,7,pEmpty,0.737
19,8,pEmpty,0.87
19,1,pYoaI,0.73
19,2,pYoaI,0.721
19,3,pYoaI,0.7
19,4,pYoaI,0.73
19,5,pYoaI,0.703
19,6,pYoaI,0.74
19,7,pYoaI,0.712
19,8,pYoaI,0.715
20,1,pEmpty,0.827
20,2,pEmpty,0.65
20,3,pEmpty,0.655
20,4,pEmpty,0.66
20,5,pEmpty,0.664
20,6,pEmpty,0.661
20,7,pEmpty,0.754
20,8,pEmpty,0.88
20,1,pYoaI,0.73
20,2,pYoaI,0.721
20,3,pYoaI,0.7
20,4,pYoaI,0.73
20,5,pYoaI,0.703
20,6,pYoaI,0.74
20,7,pYoaI,0.712
20,8,pYoaI,0.715
