strain,fluorescence,intensity,stress
empty,yfp,1032.9651,10mM
empty,yfp,2041.6405,10mM
empty,yfp,861.3415,10mM
empty,yfp,1277.5842,10mM
empty,yfp,1863.5023,10mM
empty,yfp,948.94794,10mM
empty,yfp,1147.6355,10mM
empty,yfp,852.54346,10mM
empty,yfp,1032.4369,10mM
empty,yfp,1184.9626,10mM
empty,yfp,1045.4553,10mM
empty,yfp,2021.6162,10mM
empty,yfp,1263.13,10mM
empty,yfp,1144.6881,10mM
empty,yfp,1104.8835,10mM
empty,yfp,1578.2858,10mM
empty,yfp,862.6532,10mM
empty,yfp,953.8333,10mM
empty,yfp,2248.7068,10mM
empty,yfp,1874.896,10mM
empty,yfp,1956.5703,10mM
empty,yfp,839.1111,10mM
empty,yfp,1810.5,10mM
empty,yfp,767.64545,10mM
empty,yfp,1304.8794,10mM
empty,yfp,1264.6567,10mM
empty,yfp,1839.4257,10mM
empty,yfp,1508.4796,10mM
empty,yfp,1546.7458,10mM
empty,yfp,761.8276,10mM
empty,yfp,1061.4419,10mM
empty,yfp,1158.8966,10mM
empty,yfp,1670.5682,10mM
empty,yfp,755.9468,10mM
empty,yfp,1334.0775,10mM
empty,yfp,1460.2727,10mM
empty,yfp,1257.2053,10mM
empty,yfp,1716.1022,10mM
empty,yfp,1936.7073,10mM
empty,yfp,1185.7008,10mM
empty,yfp,642.9748,10mM
empty,yfp,1496.279,10mM
empty,yfp,1008.6508,10mM
empty,yfp,1475.4777,10mM
empty,yfp,1484.2263,10mM
empty,yfp,1163.1063,10mM
empty,yfp,1505.0687,10mM
empty,yfp,1211.8788,10mM
empty,yfp,1245.1583,10mM
empty,yfp,1056.6979,10mM
empty,yfp,1573.8286,10mM
empty,yfp,1009.4662,10mM
empty,yfp,775.3083,10mM
empty,yfp,1372.5319,10mM
empty,yfp,1952.9774,10mM
empty,yfp,755.88464,10mM
empty,yfp,1626.3264,10mM
empty,yfp,881.85077,10mM
empty,yfp,1146.4508,10mM
empty,yfp,1064.8667,10mM
empty,yfp,755.7099,10mM
empty,yfp,1091.9291,10mM
empty,yfp,1546.8245,10mM
empty,yfp,724.54767,10mM
empty,yfp,830.24475,10mM
empty,yfp,1464.1824,10mM
empty,yfp,897.947,10mM
empty,yfp,1629.2797,10mM
empty,yfp,993.8052,10mM
empty,yfp,1117.6028,10mM
empty,yfp,1117.2721,10mM
empty,yfp,974.05066,10mM
empty,yfp,832.5714,10mM
empty,yfp,1543.0073,10mM
empty,yfp,1605.1776,10mM
empty,yfp,661.5486,10mM
empty,yfp,998.15106,10mM
empty,yfp,932.7832,10mM
empty,yfp,1282,10mM
empty,yfp,1370.6052,10mM
empty,yfp,1991.9104,10mM
empty,yfp,720.66565,10mM
empty,yfp,1402.5918,10mM
empty,yfp,1053.4633,10mM
empty,yfp,2034.6993,10mM
empty,yfp,1638.4933,10mM
empty,yfp,1237.8657,10mM
empty,yfp,867.8392,10mM
empty,yfp,955.3684,10mM
empty,yfp,1301.4497,10mM
empty,yfp,605.73376,10mM
empty,yfp,1230.0486,10mM
empty,yfp,1128.669,10mM
empty,yfp,990.26575,10mM
empty,yfp,2371.6787,10mM
empty,yfp,857.2292,10mM
empty,yfp,2322.8904,10mM
empty,yfp,945.1905,10mM
empty,yfp,971.62024,10mM
empty,yfp,1912.3438,10mM
empty,yfp,1069.5541,10mM
empty,yfp,1574.7812,10mM
empty,yfp,1034.7516,10mM
empty,yfp,1729.7612,10mM
empty,yfp,1436.0392,10mM
empty,yfp,1376.8934,10mM
empty,yfp,1099.5063,10mM
empty,yfp,1812.7902,10mM
empty,yfp,2336.3162,10mM
empty,yfp,1170.6241,10mM
empty,yfp,900.73126,10mM
empty,yfp,843.2237,10mM
empty,yfp,871.2162,10mM
empty,yfp,915.092,10mM
empty,yfp,1825.3933,10mM
empty,yfp,1578.8248,10mM
empty,yfp,959.8328,10mM
empty,yfp,721.4177,10mM
empty,yfp,932.77466,10mM
empty,yfp,990.51495,10mM
empty,yfp,2010.2222,10mM
empty,yfp,753.9627,10mM
empty,yfp,1755.7819,10mM
empty,yfp,1123.1202,10mM
empty,yfp,942.00665,10mM
empty,yfp,1772.7216,10mM
empty,yfp,1505.1892,10mM
empty,yfp,1097.9075,10mM
empty,yfp,1511.6957,10mM
empty,yfp,870.41724,10mM
empty,yfp,1299.0454,10mM
empty,yfp,860.3931,10mM
empty,yfp,1170.75,10mM
empty,yfp,1446.1733,10mM
empty,yfp,1269.3867,10mM
empty,yfp,1258.1301,10mM
empty,yfp,998.2828,10mM
empty,yfp,1300.674,10mM
empty,yfp,1461.1631,10mM
empty,yfp,755.0549,10mM
