time,replicate,strain,OD,Empty_vector,stress
0,1,PmrR,0.03,No,no_mg
0,2,PmrR,0.03,No,no_mg
0,3,PmrR,0.03,No,no_mg
0,4,PmrR,0.03,No,no_mg
0,1,PmrR,0.03,No,10mM_mg
0,2,PmrR,0.03,No,10mM_mg
0,3,PmrR,0.03,No,10mM_mg
0,4,PmrR,0.03,No,10mM_mg
0,1,YdgU,0.03,No,no_mg
0,2,YdgU,0.03,No,no_mg
0,3,YdgU,0.03,No,no_mg
0,4,YdgU,0.03,No,no_mg
0,1,YdgU,0.03,No,10mM_mg
0,2,YdgU,0.03,No,10mM_mg
0,3,YdgU,0.03,No,10mM_mg
0,4,YdgU,0.03,No,10mM_mg
0,1,YoaI,0.03,No,no_mg
0,2,YoaI,0.03,No,no_mg
0,3,YoaI,0.03,No,no_mg
0,4,YoaI,0.03,No,no_mg
0,1,YoaI,0.03,No,10mM_mg
0,2,YoaI,0.03,No,10mM_mg
0,3,YoaI,0.03,No,10mM_mg
0,4,YoaI,0.03,No,10mM_mg
0,1,YadX,0.03,No,no_mg
0,2,YadX,0.03,No,no_mg
0,3,YadX,0.03,No,no_mg
0,4,YadX,0.03,No,no_mg
0,1,YadX,0.03,No,10mM_mg
0,2,YadX,0.03,No,10mM_mg
0,3,YadX,0.03,No,10mM_mg
0,4,YadX,0.03,No,10mM_mg
0,1,YriB,0.03,No,no_mg
0,2,YriB,0.03,No,no_mg
0,3,YriB,0.03,No,no_mg
0,4,YriB,0.03,No,no_mg
0,1,YriB,0.03,No,10mM_mg
0,2,YriB,0.03,No,10mM_mg
0,3,YriB,0.03,No,10mM_mg
0,4,YriB,0.03,No,10mM_mg
0,1,YmiA,0.03,No,no_mg
0,2,YmiA,0.03,No,no_mg
0,3,YmiA,0.03,No,no_mg
0,4,YmiA,0.03,No,no_mg
0,1,YmiA,0.03,No,10mM_mg
0,2,YmiA,0.03,No,10mM_mg
0,3,YmiA,0.03,No,10mM_mg
0,4,YmiA,0.03,No,10mM_mg
0,1,MgtT,0.03,No,no_mg
0,2,MgtT,0.03,No,no_mg
0,3,MgtT,0.03,No,no_mg
0,4,MgtT,0.03,No,no_mg
0,1,MgtT,0.03,No,10mM_mg
0,2,MgtT,0.03,No,10mM_mg
0,3,MgtT,0.03,No,10mM_mg
0,4,MgtT,0.03,No,10mM_mg
0,1,YmiC,0.03,No,no_mg
0,2,YmiC,0.03,No,no_mg
0,3,YmiC,0.03,No,no_mg
0,4,YmiC,0.03,No,no_mg
0,1,YmiC,0.03,No,10mM_mg
0,2,YmiC,0.03,No,10mM_mg
0,3,YmiC,0.03,No,10mM_mg
0,4,YmiC,0.03,No,10mM_mg
0,1,PmrR,0.03,Yes,no_mg
0,2,PmrR,0.03,Yes,no_mg
0,3,PmrR,0.03,Yes,no_mg
0,4,PmrR,0.03,Yes,no_mg
0,1,PmrR,0.03,Yes,10mM_mg
0,2,PmrR,0.03,Yes,10mM_mg
0,3,PmrR,0.03,Yes,10mM_mg
0,4,PmrR,0.03,Yes,10mM_mg
0,1,YdgU,0.03,Yes,no_mg
0,2,YdgU,0.03,Yes,no_mg
0,3,YdgU,0.03,Yes,no_mg
0,4,YdgU,0.03,Yes,no_mg
0,1,YdgU,0.03,Yes,10mM_mg
0,2,YdgU,0.03,Yes,10mM_mg
0,3,YdgU,0.03,Yes,10mM_mg
0,4,YdgU,0.03,Yes,10mM_mg
0,1,YoaI,0.03,Yes,no_mg
0,2,YoaI,0.03,Yes,no_mg
0,3,YoaI,0.03,Yes,no_mg
0,4,YoaI,0.03,Yes,no_mg
0,1,YoaI,0.03,Yes,10mM_mg
0,2,YoaI,0.03,Yes,10mM_mg
0,3,YoaI,0.03,Yes,10mM_mg
0,4,YoaI,0.03,Yes,10mM_mg
0,1,YadX,0.03,Yes,no_mg
0,2,YadX,0.03,Yes,no_mg
0,3,YadX,0.03,Yes,no_mg
0,4,YadX,0.03,Yes,no_mg
0,1,YadX,0.03,Yes,10mM_mg
0,2,YadX,0.03,Yes,10mM_mg
0,3,YadX,0.03,Yes,10mM_mg
0,4,YadX,0.03,Yes,10mM_mg
0,1,YriB,0.03,Yes,no_mg
0,2,YriB,0.03,Yes,no_mg
0,3,YriB,0.03,Yes,no_mg
0,4,YriB,0.03,Yes,no_mg
0,1,YriB,0.03,Yes,10mM_mg
0,2,YriB,0.03,Yes,10mM_mg
