hour,protein,strain,OD
0,PmrR,pStop,0.1
0,PmrR,pStop,0.099
0,PmrR,pStop,0.097
0,PmrR,pStop,0.099
0,PmrR,pSmall,0.098
0,PmrR,pSmall,0.097
0,PmrR,pSmall,0.099
0,PmrR,pSmall,0.096
0,MgtS,pStop,0.1
0,MgtS,pStop,0.098
0,MgtS,pStop,0.097
0,MgtS,pStop,0.097
0,MgtS,pSmall,0.098
0,MgtS,pSmall,0.095
0,MgtS,pSmall,0.099
0,MgtS,pSmall,0.1
0,YoaI,pStop,0.097
0,YoaI,pStop,0.097
0,YoaI,pStop,0.098
0,YoaI,pStop,0.098
0,YoaI,pSmall,0.1
0,YoaI,pSmall,0.101
0,YoaI,pSmall,0.1
0,YoaI,pSmall,0.097
0,YmiA,pStop,0.098
0,YmiA,pStop,0.098
0,YmiA,pStop,0.099
0,YmiA,pStop,0.099
0,YmiA,pSmall,0.105
0,YmiA,pSmall,0.101
0,YmiA,pSmall,0.099
0,YmiA,pSmall,0.098
0,YkgS,pStop,0.097
0,YkgS,pStop,0.096
0,YkgS,pStop,0.099
0,YkgS,pStop,0.098
0,YkgS,pSmall,0.1
0,YkgS,pSmall,0.098
0,YkgS,pSmall,0.097
0,YkgS,pSmall,0.096
1,PmrR,pStop,0.112
1,PmrR,pStop,0.112
1,PmrR,pStop,0.108
1,PmrR,pStop,0.11
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.097
1,MgtS,pStop,0.11
1,MgtS,pStop,0.109
1,MgtS,pStop,0.11
1,MgtS,pStop,0.111
1,MgtS,pSmall,0.1
1,MgtS,pSmall,0.096
1,MgtS,pSmall,0.1
1,MgtS,pSmall,0.102
1,YoaI,pStop,0.106
1,YoaI,pStop,0.106
1,YoaI,pStop,0.108
1,YoaI,pStop,0.108
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.097
1,YmiA,pStop,0.112
1,YmiA,pStop,0.112
1,YmiA,pStop,0.112
1,YmiA,pStop,0.111
1,YmiA,pSmall,0.11
1,YmiA,pSmall,0.107
1,YmiA,pSmall,0.106
1,YmiA,pSmall,0.106
1,YkgS,pStop,0.109
1,YkgS,pStop,0.107
1,YkgS,pStop,0.111
1,YkgS,pStop,0.111
1,YkgS,pSmall,0.103
1,YkgS,pSmall,0.102
1,YkgS,pSmall,0.105
1,YkgS,pSmall,0.101
2,PmrR,pStop,0.132
2,PmrR,pStop,0.132
2,PmrR,pStop,0.13
2,PmrR,pStop,0.134
2,PmrR,pSmall,0.101
2,PmrR,pSmall,0.097
2,PmrR,pSmall,0.1
2,PmrR,pSmall,0.097
2,MgtS,pStop,0.13
2,MgtS,pStop,0.131
2,MgtS,pStop,0.133
2,MgtS,pStop,0.138
2,MgtS,pSmall,0.1
2,MgtS,pSmall,0.096
2,MgtS,pSmall,0.1
2,MgtS,pSmall,0.101
2,YoaI,pStop,0.127
2,YoaI,pStop,0.128
2,YoaI,pStop,0.129
2,YoaI,pStop,0.132
2,YoaI,pSmall,0.1
2,YoaI,pSmall,0.098
2,YoaI,pSmall,0.099
2,YoaI,pSmall,0.096
2,YmiA,pStop,0.129
2,YmiA,pStop,0.129
2,YmiA,pStop,0.132
2,YmiA,pStop,0.136
2,YmiA,pSmall,0.112
2,YmiA,pSmall,0.109
2,YmiA,pSmall,0.107
2,YmiA,pSmall,0.108
2,YkgS,pStop,0.135
2,YkgS,pStop,0.132
2,YkgS,pStop,0.131
2,YkgS,pStop,0.134
2,YkgS,pSmall,0.111
2,YkgS,pSmall,0.11
2,YkgS,pSmall,0.112
2,YkgS,pSmall,0.111
3,PmrR,pStop,0.16
3,PmrR,pStop,0.162
3,PmrR,pStop,0.147
3,PmrR,pStop,0.152
3,PmrR,pSmall,0.103
3,PmrR,pSmall,0.098
3,PmrR,pSmall,0.099
3,PmrR,pSmall,0.097
3,MgtS,pStop,0.151
3,MgtS,pStop,0.152
3,MgtS,pStop,0.165
3,MgtS,pStop,0.171
3,MgtS,pSmall,0.101
3,MgtS,pSmall,0.096
3,MgtS,pSmall,0.099
3,MgtS,pSmall,0.101
3,YoaI,pStop,0.142
3,YoaI,pStop,0.143
3,YoaI,pStop,0.145
3,YoaI,pStop,0.147
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.097
3,YmiA,pStop,0.159
3,YmiA,pStop,0.159
3,YmiA,pStop,0.157
3,YmiA,pStop,0.16
3,YmiA,pSmall,0.111
3,YmiA,pSmall,0.109
3,YmiA,pSmall,0.112
3,YmiA,pSmall,0.113
3,YkgS,pStop,0.156
3,YkgS,pStop,0.153
3,YkgS,pStop,0.149
3,YkgS,pStop,0.149
3,YkgS,pSmall,0.12
3,YkgS,pSmall,0.12
3,YkgS,pSmall,0.122
3,YkgS,pSmall,0.121
4,PmrR,pStop,0.234
4,PmrR,pStop,0.241
4,PmrR,pStop,0.213
4,PmrR,pStop,0.223
4,PmrR,pSmall,0.102
4,PmrR,pSmall,0.098
4,PmrR,pSmall,0.099
4,PmrR,pSmall,0.099
4,MgtS,pStop,0.235
4,MgtS,pStop,0.242
4,MgtS,pStop,0.258
4,MgtS,pStop,0.285
4,MgtS,pSmall,0.1
4,MgtS,pSmall,0.097
4,MgtS,pSmall,0.098
4,MgtS,pSmall,0.101
4,YoaI,pStop,0.206
4,YoaI,pStop,0.213
4,YoaI,pStop,0.212
4,YoaI,pStop,0.222
4,YoaI,pSmall,0.098
4,YoaI,pSmall,0.099
4,YoaI,pSmall,0.097
4,YoaI,pSmall,0.096
4,YmiA,pStop,0.276
4,YmiA,pStop,0.279
4,YmiA,pStop,0.262
4,YmiA,pStop,0.267
4,YmiA,pSmall,0.111
4,YmiA,pSmall,0.108
4,YmiA,pSmall,0.115
4,YmiA,pSmall,0.118
4,YkgS,pStop,0.225
4,YkgS,pStop,0.22
4,YkgS,pStop,0.224
4,YkgS,pStop,0.228
4,YkgS,pSmall,0.13
4,YkgS,pSmall,0.13
4,YkgS,pSmall,0.137
4,YkgS,pSmall,0.146
5,PmrR,pStop,0.388
5,PmrR,pStop,0.389
5,PmrR,pStop,0.361
5,PmrR,pStop,0.368
5,PmrR,pSmall,0.1
