strain,length,width,phase
phoQ,17.8143,7.650835,lag
phoQ,27.270031,8.568509,lag
phoQ,38.75425,8.575417,lag
phoQ,30.489744,8.607593,lag
phoQ,32.387722,8.609143,lag
phoQ,45.68884,8.69232,lag
phoQ,45.856552,8.7223215,lag
phoQ,32.42606,8.76781,lag
phoQ,69.459915,8.769251,lag
phoQ,27.198532,8.779616,lag
phoQ,46.31945,8.816333,lag
phoQ,59.52291,8.83773,lag
phoQ,22.47132,8.86913,lag
phoQ,25.437963,8.885766,lag
phoQ,19.990093,8.916941,lag
phoQ,32.084064,8.94759,lag
phoQ,52.674206,8.952579,lag
phoQ,40.34801,8.960918,lag
phoQ,44.218433,8.974651,lag
phoQ,33.333908,9.001117,lag
phoQ,47.56304,9.007823,lag
phoQ,41.56046,9.012967,lag
phoQ,18.136787,9.023179,lag
phoQ,35.481216,9.0448265,lag
phoQ,32.592243,9.052308,lag
phoQ,27.531168,9.105607,lag
phoQ,27.432056,9.106437,lag
phoQ,36.573914,9.113091,lag
phoQ,50.20687,9.121438,lag
phoQ,35.029106,9.135001,lag
phoQ,28.260544,9.147442,lag
phoQ,40.035004,9.185891,lag
phoQ,34.102592,9.198187,lag
phoQ,31.554907,9.220306,lag
phoQ,46.17266,9.231302,lag
phoQ,17.868795,9.241383,lag
phoQ,26.152855,9.241401,lag
phoQ,69.513336,9.242127,lag
phoQ,30.092445,9.249368,lag
phoQ,59.957355,9.250013,lag
phoQ,33.67675,9.250528,lag
phoQ,30.970547,9.279252,lag
phoQ,57.85503,9.297578,lag
phoQ,45.81011,9.307311,lag
phoQ,28.209702,9.309632,lag
phoQ,15.971764,9.311763,lag
phoQ,32.949326,9.325816,lag
phoQ,35.685703,9.331463,lag
phoQ,23.619019,9.347414,lag
phoQ,60.16827,9.352367,lag
phoQ,37.850597,9.354337,lag
phoQ,44.97212,9.360584,lag
phoQ,58.396423,9.386065,lag
phoQ,66.62945,9.401719,lag
phoQ,22.081087,9.409534,lag
phoQ,39.953636,9.409629,lag
phoQ,43.613796,9.410469,lag
phoQ,32.46312,9.438057,lag
phoQ,21.938711,9.442655,lag
phoQ,31.901056,9.44316,lag
phoQ,52.898655,9.446262,lag
phoQ,22.275307,9.451991,lag
phoQ,30.633415,9.452165,lag
phoQ,51.85831,9.454287,lag
phoQ,25.829353,9.455241,lag
phoQ,21.688778,9.456444,lag
phoQ,45.866413,9.466045,lag
phoQ,49.68208,9.481889,lag
phoQ,38.96697,9.482652,lag
phoQ,55.29167,9.483194,lag
phoQ,35.05733,9.5163555,lag
phoQ,51.948925,9.51957,lag
phoQ,38.356747,9.5227,lag
phoQ,36.956573,9.524298,lag
phoQ,53.054558,9.534448,lag
phoQ,52.676025,9.537828,lag
phoQ,27.835903,9.53901,lag
phoQ,34.13939,9.542255,lag
phoQ,18.591898,9.545452,lag
phoQ,34.599857,9.549109,lag
phoQ,50.452457,9.566976,lag
phoQ,21.237255,9.570408,lag
phoQ,42.614017,9.581182,lag
phoQ,47.115562,9.586784,lag
