time,replicate,strain,vector,stress,OD
0,1,MG1655,pEmpty_vector,no_stress,0.101
0,2,MG1655,pEmpty_vector,no_stress,0.101
0,3,MG1655,pEmpty_vector,no_stress,0.103
0,4,MG1655,pEmpty_vector,no_stress,0.101
0,5,MG1655,pEmpty_vector,no_stress,0.1
0,6,MG1655,pEmpty_vector,no_stress,0.103
0,7,MG1655,pEmpty_vector,no_stress,0.1
0,8,MG1655,pEmpty_vector,no_stress,0.105
0,1,MG1655,pPmrR,no_stress,0.104
0,2,MG1655,pPmrR,no_stress,0.103
0,3,MG1655,pPmrR,no_stress,0.1
0,4,MG1655,pPmrR,no_stress,0.101
0,5,MG1655,pPmrR,no_stress,0.101
0,6,MG1655,pPmrR,no_stress,0.103
0,7,MG1655,pPmrR,no_stress,0.102
0,8,MG1655,pPmrR,no_stress,0.103
0,1,ΔlpxT,pEmpty_vector,no_stress,0.101
0,2,ΔlpxT,pEmpty_vector,no_stress,0.101
0,3,ΔlpxT,pEmpty_vector,no_stress,0.103
0,4,ΔlpxT,pEmpty_vector,no_stress,0.101
0,5,ΔlpxT,pEmpty_vector,no_stress,0.1
0,6,ΔlpxT,pEmpty_vector,no_stress,0.103
0,7,ΔlpxT,pEmpty_vector,no_stress,0.1
0,8,ΔlpxT,pEmpty_vector,no_stress,0.105
0,1,ΔlpxT,pPmrR,no_stress,0.104
0,2,ΔlpxT,pPmrR,no_stress,0.103
0,3,ΔlpxT,pPmrR,no_stress,0.1
0,4,ΔlpxT,pPmrR,no_stress,0.101
0,5,ΔlpxT,pPmrR,no_stress,0.101
0,6,ΔlpxT,pPmrR,no_stress,0.103
0,7,ΔlpxT,pPmrR,no_stress,0.102
0,8,ΔlpxT,pPmrR,no_stress,0.103
0,1,MG1655,pEmpty_vector,stress,0.103
0,2,MG1655,pEmpty_vector,stress,0.104
0,3,MG1655,pEmpty_vector,stress,0.101
0,4,MG1655,pEmpty_vector,stress,0.1
0,5,MG1655,pEmpty_vector,stress,0.1
0,6,MG1655,pEmpty_vector,stress,0.101
0,7,MG1655,pEmpty_vector,stress,0.103
0,8,MG1655,pEmpty_vector,stress,0.103
0,1,MG1655,pPmrR,stress,0.1
0,2,MG1655,pPmrR,stress,0.101
0,3,MG1655,pPmrR,stress,0.099
0,4,MG1655,pPmrR,stress,0.101
0,5,MG1655,pPmrR,stress,0.101
0,6,MG1655,pPmrR,stress,0.1
0,7,MG1655,pPmrR,stress,0.1
0,8,MG1655,pPmrR,stress,0.109
0,1,ΔlpxT,pEmpty_vector,stress,0.102
0,2,ΔlpxT,pEmpty_vector,stress,0.101
0,3,ΔlpxT,pEmpty_vector,stress,0.101
0,4,ΔlpxT,pEmpty_vector,stress,0.101
0,5,ΔlpxT,pEmpty_vector,stress,0.1
0,6,ΔlpxT,pEmpty_vector,stress,0.102
0,7,ΔlpxT,pEmpty_vector,stress,0.1
0,8,ΔlpxT,pEmpty_vector,stress,0.103
0,1,ΔlpxT,pPmrR,stress,0.1
0,2,ΔlpxT,pPmrR,stress,0.1
0,3,ΔlpxT,pPmrR,stress,0.102
0,4,ΔlpxT,pPmrR,stress,0.103
0,5,ΔlpxT,pPmrR,stress,0.101
0,6,ΔlpxT,pPmrR,stress,0.103
0,7,ΔlpxT,pPmrR,stress,0.102
0,8,ΔlpxT,pPmrR,stress,0.102
1,1,MG1655,pEmpty_vector,no_stress,0.122
1,2,MG1655,pEmpty_vector,no_stress,0.12
1,3,MG1655,pEmpty_vector,no_stress,0.115
1,4,MG1655,pEmpty_vector,no_stress,0.116
1,5,MG1655,pEmpty_vector,no_stress,0.117
1,6,MG1655,pEmpty_vector,no_stress,0.121
1,7,MG1655,pEmpty_vector,no_stress,0.117
1,8,MG1655,pEmpty_vector,no_stress,0.123
1,1,MG1655,pPmrR,no_stress,0.107
1,2,MG1655,pPmrR,no_stress,0.107
1,3,MG1655,pPmrR,no_stress,0.101
1,4,MG1655,pPmrR,no_stress,0.106
1,5,MG1655,pPmrR,no_stress,0.103
1,6,MG1655,pPmrR,no_stress,0.107
1,7,MG1655,pPmrR,no_stress,0.102
1,8,MG1655,pPmrR,no_stress,0.106
1,1,ΔlpxT,pEmpty_vector,no_stress,0.118
1,2,ΔlpxT,pEmpty_vector,no_stress,0.118
1,3,ΔlpxT,pEmpty_vector,no_stress,0.123
1,4,ΔlpxT,pEmpty_vector,no_stress,0.121
1,5,ΔlpxT,pEmpty_vector,no_stress,0.117
1,6,ΔlpxT,pEmpty_vector,no_stress,0.123
1,7,ΔlpxT,pEmpty_vector,no_stress,0.117
1,8,ΔlpxT,pEmpty_vector,no_stress,0.123
1,1,ΔlpxT,pPmrR,no_stress,0.111
1,2,ΔlpxT,pPmrR,no_stress,0.111
1,3,ΔlpxT,pPmrR,no_stress,0.112
1,4,ΔlpxT,pPmrR,no_stress,0.114
1,5,ΔlpxT,pPmrR,no_stress,0.112
1,6,ΔlpxT,pPmrR,no_stress,0.114
1,7,ΔlpxT,pPmrR,no_stress,0.107
1,8,ΔlpxT,pPmrR,no_stress,0.111
1,1,MG1655,pEmpty_vector,stress,0.122
1,2,MG1655,pEmpty_vector,stress,0.124
1,3,MG1655,pEmpty_vector,stress,0.122
1,4,MG1655,pEmpty_vector,stress,0.122
1,5,MG1655,pEmpty_vector,stress,0.117
1,6,MG1655,pEmpty_vector,stress,0.119
1,7,MG1655,pEmpty_vector,stress,0.12
1,8,MG1655,pEmpty_vector,stress,0.123
1,1,MG1655,pPmrR,stress,0.101
1,2,MG1655,pPmrR,stress,0.102
1,3,MG1655,pPmrR,stress,0.1
1,4,MG1655,pPmrR,stress,0.102
1,5,MG1655,pPmrR,stress,0.102
1,6,MG1655,pPmrR,stress,0.101
1,7,MG1655,pPmrR,stress,0.102
1,8,MG1655,pPmrR,stress,0.113
1,1,ΔlpxT,pEmpty_vector,stress,0.124
1,2,ΔlpxT,pEmpty_vector,stress,0.12
1,3,ΔlpxT,pEmpty_vector,stress,0.119
1,4,ΔlpxT,pEmpty_vector,stress,0.121
1,5,ΔlpxT,pEmpty_vector,stress,0.118
1,6,ΔlpxT,pEmpty_vector,stress,0.12
1,7,ΔlpxT,pEmpty_vector,stress,0.118
1,8,ΔlpxT,pEmpty_vector,stress,0.124
1,1,ΔlpxT,pPmrR,stress,0.105
1,2,ΔlpxT,pPmrR,stress,0.104
1,3,ΔlpxT,pPmrR,stress,0.111
1,4,ΔlpxT,pPmrR,stress,0.113
1,5,ΔlpxT,pPmrR,stress,0.108
1,6,ΔlpxT,pPmrR,stress,0.11
1,7,ΔlpxT,pPmrR,stress,0.103
1,8,ΔlpxT,pPmrR,stress,0.104
2,1,MG1655,pEmpty_vector,no_stress,0.145
2,2,MG1655,pEmpty_vector,no_stress,0.15
2,3,MG1655,pEmpty_vector,no_stress,0.138
2,4,MG1655,pEmpty_vector,no_stress,0.143
2,5,MG1655,pEmpty_vector,no_stress,0.148
2,6,MG1655,pEmpty_vector,no_stress,0.157
2,7,MG1655,pEmpty_vector,no_stress,0.151
2,8,MG1655,pEmpty_vector,no_stress,0.155
2,1,MG1655,pPmrR,no_stress,0.107
2,2,MG1655,pPmrR,no_stress,0.11
2,3,MG1655,pPmrR,no_stress,0.101
2,4,MG1655,pPmrR,no_stress,0.104
2,5,MG1655,pPmrR,no_stress,0.102
2,6,MG1655,pPmrR,no_stress,0.105
2,7,MG1655,pPmrR,no_stress,0.102
2,8,MG1655,pPmrR,no_stress,0.105
2,1,ΔlpxT,pEmpty_vector,no_stress,0.143
2,2,ΔlpxT,pEmpty_vector,no_stress,0.142
2,3,ΔlpxT,pEmpty_vector,no_stress,0.141
2,4,ΔlpxT,pEmpty_vector,no_stress,0.14
2,5,ΔlpxT,pEmpty_vector,no_stress,0.135
2,6,ΔlpxT,pEmpty_vector,no_stress,0.141
2,7,ΔlpxT,pEmpty_vector,no_stress,0.141
2,8,ΔlpxT,pEmpty_vector,no_stress,0.142
2,1,ΔlpxT,pPmrR,no_stress,0.11
2,2,ΔlpxT,pPmrR,no_stress,0.108
2,3,ΔlpxT,pPmrR,no_stress,0.11
2,4,ΔlpxT,pPmrR,no_stress,0.111
2,5,ΔlpxT,pPmrR,no_stress,0.112
2,6,ΔlpxT,pPmrR,no_stress,0.111
2,7,ΔlpxT,pPmrR,no_stress,0.105
2,8,ΔlpxT,pPmrR,no_stress,0.109
2,1,MG1655,pEmpty_vector,stress,0.151
2,2,MG1655,pEmpty_vector,stress,0.15
2,3,MG1655,pEmpty_vector,stress,0.156
2,4,MG1655,pEmpty_vector,stress,0.148
2,5,MG1655,pEmpty_vector,stress,0.151
2,6,MG1655,pEmpty_vector,stress,0.148
2,7,MG1655,pEmpty_vector,stress,0.157
2,8,MG1655,pEmpty_vector,stress,0.159
2,1,MG1655,pPmrR,stress,0.101
2,2,MG1655,pPmrR,stress,0.102
2,3,MG1655,pPmrR,stress,0.098
2,4,MG1655,pPmrR,stress,0.1
2,5,MG1655,pPmrR,stress,0.099
2,6,MG1655,pPmrR,stress,0.098
2,7,MG1655,pPmrR,stress,0.098
2,8,MG1655,pPmrR,stress,0.11
2,1,ΔlpxT,pEmpty_vector,stress,0.148
2,2,ΔlpxT,pEmpty_vector,stress,0.149
2,3,ΔlpxT,pEmpty_vector,stress,0.152
2,4,ΔlpxT,pEmpty_vector,stress,0.151
2,5,ΔlpxT,pEmpty_vector,stress,0.148
2,6,ΔlpxT,pEmpty_vector,stress,0.149
2,7,ΔlpxT,pEmpty_vector,stress,0.145
2,8,ΔlpxT,pEmpty_vector,stress,0.146
2,1,ΔlpxT,pPmrR,stress,0.1
2,2,ΔlpxT,pPmrR,stress,0.101
2,3,ΔlpxT,pPmrR,stress,0.107
2,4,ΔlpxT,pPmrR,stress,0.109
2,5,ΔlpxT,pPmrR,stress,0.104
2,6,ΔlpxT,pPmrR,stress,0.105
2,7,ΔlpxT,pPmrR,stress,0.1
2,8,ΔlpxT,pPmrR,stress,0.1
3,1,MG1655,pEmpty_vector,no_stress,0.185
3,2,MG1655,pEmpty_vector,no_stress,0.179
3,3,MG1655,pEmpty_vector,no_stress,0.172
3,4,MG1655,pEmpty_vector,no_stress,0.175
3,5,MG1655,pEmpty_vector,no_stress,0.176
3,6,MG1655,pEmpty_vector,no_stress,0.185
3,7,MG1655,pEmpty_vector,no_stress,0.184
3,8,MG1655,pEmpty_vector,no_stress,0.191
3,1,MG1655,pPmrR,no_stress,0.111
3,2,MG1655,pPmrR,no_stress,0.113
3,3,MG1655,pPmrR,no_stress,0.1
3,4,MG1655,pPmrR,no_stress,0.103
3,5,MG1655,pPmrR,no_stress,0.101
3,6,MG1655,pPmrR,no_stress,0.105
3,7,MG1655,pPmrR,no_stress,0.102
3,8,MG1655,pPmrR,no_stress,0.106
3,1,ΔlpxT,pEmpty_vector,no_stress,0.174
3,2,ΔlpxT,pEmpty_vector,no_stress,0.172
3,3,ΔlpxT,pEmpty_vector,no_stress,0.176
3,4,ΔlpxT,pEmpty_vector,no_stress,0.18
3,5,ΔlpxT,pEmpty_vector,no_stress,0.172
3,6,ΔlpxT,pEmpty_vector,no_stress,0.179
3,7,ΔlpxT,pEmpty_vector,no_stress,0.174
3,8,ΔlpxT,pEmpty_vector,no_stress,0.182
3,1,ΔlpxT,pPmrR,no_stress,0.11
3,2,ΔlpxT,pPmrR,no_stress,0.109
3,3,ΔlpxT,pPmrR,no_stress,0.11
3,4,ΔlpxT,pPmrR,no_stress,0.111
3,5,ΔlpxT,pPmrR,no_stress,0.112
3,6,ΔlpxT,pPmrR,no_stress,0.111
3,7,ΔlpxT,pPmrR,no_stress,0.105
3,8,ΔlpxT,pPmrR,no_stress,0.108
3,1,MG1655,pEmpty_vector,stress,0.188
3,2,MG1655,pEmpty_vector,stress,0.191
3,3,MG1655,pEmpty_vector,stress,0.174
3,4,MG1655,pEmpty_vector,stress,0.175
3,5,MG1655,pEmpty_vector,stress,0.181
3,6,MG1655,pEmpty_vector,stress,0.185
3,7,MG1655,pEmpty_vector,stress,0.19
3,8,MG1655,pEmpty_vector,stress,0.187
3,1,MG1655,pPmrR,stress,0.102
3,2,MG1655,pPmrR,stress,0.105
3,3,MG1655,pPmrR,stress,0.098
3,4,MG1655,pPmrR,stress,0.1
3,5,MG1655,pPmrR,stress,0.098
3,6,MG1655,pPmrR,stress,0.098
3,7,MG1655,pPmrR,stress,0.099
3,8,MG1655,pPmrR,stress,0.111
3,1,ΔlpxT,pEmpty_vector,stress,0.189
3,2,ΔlpxT,pEmpty_vector,stress,0.177
3,3,ΔlpxT,pEmpty_vector,stress,0.179
