strain,length,width,phase
MgrB,14.006271,9.391927,lag
MgrB,14.593328,11.042678,lag
MgrB,14.858462,9.269688,lag
MgrB,15.192819,9.552344,lag
MgrB,16.405476,9.267612,lag
MgrB,17.134485,9.8489065,lag
MgrB,17.168346,9.591256,lag
MgrB,17.308493,10.628952,lag
MgrB,17.343267,10.385911,lag
MgrB,17.407766,11.018866,lag
MgrB,17.603949,9.690075,lag
MgrB,17.843056,9.913917,lag
MgrB,18.095615,11.075313,lag
MgrB,18.295189,10.340056,lag
MgrB,18.767385,8.417019,lag
MgrB,19.144318,9.968074,lag
MgrB,19.234646,11.02399,lag
MgrB,19.509933,10.965054,lag
MgrB,19.59241,8.119903,lag
MgrB,19.75797,9.694601,lag
MgrB,19.834572,10.823704,lag
MgrB,19.889847,9.648088,lag
MgrB,19.907686,11.46244,lag
MgrB,20.231771,10.993819,lag
MgrB,20.235313,11.093324,lag
MgrB,20.262396,11.033996,lag
MgrB,20.28412,10.277007,lag
MgrB,20.35566,10.154862,lag
MgrB,20.533636,10.672695,lag
MgrB,20.664139,10.529705,lag
MgrB,20.743805,9.823519,lag
MgrB,20.750273,10.939371,lag
MgrB,20.846333,10.2718315,lag
MgrB,21.032846,12.767789,lag
MgrB,21.07952,10.264182,lag
MgrB,21.15321,9.99442,lag
MgrB,21.166075,10.159345,lag
MgrB,21.423416,10.66319,lag
MgrB,21.48624,9.931401,lag
MgrB,21.842533,9.891528,lag
MgrB,21.92551,10.508987,lag
MgrB,21.942677,10.725646,lag
MgrB,22.076511,10.009397,lag
MgrB,22.127954,10.874775,lag
MgrB,22.216892,10.9595175,lag
MgrB,22.263279,9.708578,lag
MgrB,22.317474,10.132562,lag
MgrB,22.662758,10.105171,lag
MgrB,22.810448,10.350899,lag
MgrB,22.834957,10.41655,lag
MgrB,23.01228,9.6840315,lag
MgrB,23.03833,9.239675,lag
MgrB,23.080658,10.732155,lag
MgrB,23.207762,8.746313,lag
MgrB,23.266304,10.553642,lag
MgrB,23.281843,8.868761,lag
MgrB,23.55977,9.502754,lag
MgrB,23.641932,11.042067,lag
MgrB,23.657705,11.003306,lag
MgrB,23.79168,10.772664,lag
