hour,replicates,vector,wt,OD
0,1,empty,yes,0.131
0,2,empty,yes,0.134
0,3,empty,yes,0.131
0,4,empty,yes,0.134
0,5,empty,yes,0.137
0,6,empty,yes,0.133
0,7,empty,yes,0.134
0,8,empty,yes,0.132
0,1,empty,no,0.143
0,2,empty,no,0.133
0,3,empty,no,0.136
0,4,empty,no,0.137
0,5,empty,no,0.137
0,6,empty,no,0.136
0,7,empty,no,0.128
0,8,empty,no,0.131
0,1,small,no,0.133
0,2,small,no,0.133
0,3,small,no,0.135
0,4,small,no,0.143
0,5,small,no,0.136
0,6,small,no,0.133
0,7,small,no,0.13
0,8,small,no,0.134
1,1,empty,yes,0.167
1,2,empty,yes,0.167
1,3,empty,yes,0.162
1,4,empty,yes,0.175
1,5,empty,yes,0.182
1,6,empty,yes,0.172
1,7,empty,yes,0.166
1,8,empty,yes,0.17
1,1,empty,no,0.195
1,2,empty,no,0.173
1,3,empty,no,0.181
1,4,empty,no,0.182
1,5,empty,no,0.182
1,6,empty,no,0.178
1,7,empty,no,0.164
1,8,empty,no,0.17
1,1,small,no,0.177
1,2,small,no,0.172
1,3,small,no,0.178
1,4,small,no,0.184
1,5,small,no,0.176
1,6,small,no,0.174
1,7,small,no,0.168
1,8,small,no,0.177
2,1,empty,yes,0.229
2,2,empty,yes,0.218
2,3,empty,yes,0.223
2,4,empty,yes,0.306
2,5,empty,yes,0.249
2,6,empty,yes,0.243
2,7,empty,yes,0.237
2,8,empty,yes,0.241
2,1,empty,no,0.253
2,2,empty,no,0.236
2,3,empty,no,0.249
2,4,empty,no,0.248
2,5,empty,no,0.244
2,6,empty,no,0.247
2,7,empty,no,0.228
2,8,empty,no,0.245
2,1,small,no,0.238
2,2,small,no,0.24
2,3,small,no,0.24
2,4,small,no,0.251
2,5,small,no,0.233
2,6,small,no,0.232
2,7,small,no,0.228
2,8,small,no,0.235
3,1,empty,yes,0.306
3,2,empty,yes,0.328
3,3,empty,yes,0.341
3,4,empty,yes,0.503
3,5,empty,yes,0.339
3,6,empty,yes,0.356
3,7,empty,yes,0.35
3,8,empty,yes,0.354
3,1,empty,no,0.324
3,2,empty,no,0.338
3,3,empty,no,0.349
3,4,empty,no,0.332
3,5,empty,no,0.341
3,6,empty,no,0.338
3,7,empty,no,0.338
3,8,empty,no,0.343
3,1,small,no,0.295
3,2,small,no,0.322
3,3,small,no,0.304
3,4,small,no,0.325
3,5,small,no,0.285
3,6,small,no,0.295
3,7,small,no,0.303
3,8,small,no,0.34
4,1,empty,yes,0.575
4,2,empty,yes,0.62
4,3,empty,yes,0.646
4,4,empty,yes,0.769
4,5,empty,yes,0.496
4,6,empty,yes,0.506
4,7,empty,yes,0.488
4,8,empty,yes,0.493
4,1,empty,no,0.334
4,2,empty,no,0.384
4,3,empty,no,0.413
4,4,empty,no,0.41
4,5,empty,no,0.441
4,6,empty,no,0.435
4,7,empty,no,0.474
4,8,empty,no,0.484
4,1,small,no,0.323
4,2,small,no,0.353
4,3,small,no,0.343
4,4,small,no,0.364
4,5,small,no,0.351
4,6,small,no,0.337
4,7,small,no,0.357
