hour,replicate,strain,wild_type,OD,stress
0,1,Empty_vector,yes,0.14,stress
0,2,Empty_vector,yes,0.137,stress
0,3,Empty_vector,yes,0.142,stress
0,4,Empty_vector,yes,0.14,stress
0,5,Empty_vector,yes,0.143,stress
0,6,Empty_vector,yes,0.142,stress
0,7,Empty_vector,yes,0.139,stress
0,8,Empty_vector,yes,0.14,stress
0,1,Empty_vector,no,0.136,stress
0,2,Empty_vector,no,0.135,stress
0,3,Empty_vector,no,0.138,stress
0,4,Empty_vector,no,0.141,stress
0,5,Empty_vector,no,0.131,stress
0,6,Empty_vector,no,0.133,stress
0,7,Empty_vector,no,0.134,stress
0,8,Empty_vector,no,0.137,stress
0,1,yriA,no,0.139,stress
0,2,yriA,no,0.137,stress
0,3,yriA,no,0.135,stress
0,4,yriA,no,0.136,stress
0,5,yriA,no,0.144,stress
0,6,yriA,no,0.139,stress
0,7,yriA,no,0.133,stress
0,8,yriA,no,0.132,stress
0,1,yriB,no,0.134,stress
0,2,yriB,no,0.133,stress
0,3,yriB,no,0.13,stress
0,4,yriB,no,0.131,stress
0,5,yriB,no,0.123,stress
0,6,yriB,no,0.134,stress
0,7,yriB,no,0.138,stress
0,8,yriB,no,0.135,stress
0,1,yriAB,no,0.134,stress
0,2,yriAB,no,0.137,stress
0,3,yriAB,no,0.132,stress
0,4,yriAB,no,0.13,stress
0,5,yriAB,no,0.134,stress
0,6,yriAB,no,0.131,stress
0,7,yriAB,no,0.134,stress
0,8,yriAB,no,0.133,stress
0,1,yriB(yriA_syn_mut),no,0.132,stress
0,2,yriB(yriA_syn_mut),no,0.132,stress
0,3,yriB(yriA_syn_mut),no,0.133,stress
0,4,yriB(yriA_syn_mut),no,0.13,stress
0,5,yriB(yriA_syn_mut),no,0.131,stress
0,6,yriB(yriA_syn_mut),no,0.13,stress
0,7,yriB(yriA_syn_mut),no,0.128,stress
0,8,yriB(yriA_syn_mut),no,0.133,stress
1,1,Empty_vector,yes,0.19,stress
1,2,Empty_vector,yes,0.185,stress
1,3,Empty_vector,yes,0.191,stress
1,4,Empty_vector,yes,0.188,stress
1,5,Empty_vector,yes,0.189,stress
1,6,Empty_vector,yes,0.186,stress
1,7,Empty_vector,yes,0.187,stress
1,8,Empty_vector,yes,0.192,stress
1,1,Empty_vector,no,0.183,stress
1,2,Empty_vector,no,0.179,stress
1,3,Empty_vector,no,0.187,stress
1,4,Empty_vector,no,0.189,stress
1,5,Empty_vector,no,0.175,stress
1,6,Empty_vector,no,0.176,stress
1,7,Empty_vector,no,0.179,stress
1,8,Empty_vector,no,0.179,stress
1,1,yriA,no,0.189,stress
1,2,yriA,no,0.184,stress
1,3,yriA,no,0.176,stress
1,4,yriA,no,0.179,stress
1,5,yriA,no,0.187,stress
1,6,yriA,no,0.181,stress
1,7,yriA,no,0.165,stress
1,8,yriA,no,0.164,stress
1,1,yriB,no,0.176,stress
1,2,yriB,no,0.172,stress
1,3,yriB,no,0.163,stress
1,4,yriB,no,0.165,stress
1,5,yriB,no,0.158,stress
1,6,yriB,no,0.167,stress
1,7,yriB,no,0.18,stress
1,8,yriB,no,0.177,stress
1,1,yriAB,no,0.179,stress
1,2,yriAB,no,0.177,stress
1,3,yriAB,no,0.17,stress
1,4,yriAB,no,0.168,stress
1,5,yriAB,no,0.177,stress
1,6,yriAB,no,0.174,stress
1,7,yriAB,no,0.174,stress
1,8,yriAB,no,0.174,stress
1,1,yriB(yriA_syn_mut),no,0.172,stress
1,2,yriB(yriA_syn_mut),no,0.172,stress
1,3,yriB(yriA_syn_mut),no,0.175,stress
1,4,yriB(yriA_syn_mut),no,0.172,stress
1,5,yriB(yriA_syn_mut),no,0.172,stress
1,6,yriB(yriA_syn_mut),no,0.17,stress
1,7,yriB(yriA_syn_mut),no,0.167,stress
1,8,yriB(yriA_syn_mut),no,0.17,stress
2,1,Empty_vector,yes,0.244,stress
2,2,Empty_vector,yes,0.239,stress
2,3,Empty_vector,yes,0.243,stress
