gene,length,low-mg1,low-mg2,ns1,ns2
thrL,66,39.8686,40.0939,56.2871,61.5181
thrA,2463,26.5438,21.487,341.707,298.131
thrB,933,25.3756,19.9654,255.076,237.161
thrC,1287,25.6537,20.6849,310.112,285.386
yaaX,297,17.8188,14.4786,32.6503,34.8904
yaaA,777,29.9852,24.5718,60.3333,61.0447
yaaJ,1431,7.45014,6.00032,8.35711,17.7526
talB,954,766.582,508.687,1309.84,1491.08
mog,588,44.8017,38.3448,67.784,80.9038
satP,567,36.8529,40.3618,24.6104,32.5374
yaaW,714,4.03029,4.00152,1.58234,2.15709
mbiA,486,0,0,0,0
yaaI,405,3.50896,2.78708,2.66278,1.37543
dnaK,1917,332.779,236.149,294.292,442.312
dnaJ,1131,126.452,98.0915,136.679,162.158
insL1,1113,30.3388,26.6024,45.6791,53.4619
mokC,210,29.0022,29.4301,9.29403,16.2575
hokC,153,0,0,0,0
sokC,55,18.7909,17.5779,4.04061,8.54733
nhaA,1167,22.2045,23.0778,10.0523,10.9053
nhaR,906,27.2912,24.3937,19.3482,21.1971
insB1,504,55.1127,51.9401,59.0524,46.0303
insA1,276,19.3817,21.0063,13.9644,17.2585
rpsT,264,1271.42,1428.16,2039.79,2003.91
yaaY,219,5.96052,5.26888,4.79975,8.34012
ribF,942,152.466,140.98,209.531,251.451
ileS,2817,164.12,152.548,358.691,371.868
lspA,495,120.112,127.404,190.893,210.857
fkpB,450,68.669,62.7044,154.473,164.857
ispH,951,46.3225,45.3507,118.841,134.355
rihC,915,11.6823,9.06907,18.8013,23.6596
dapB,822,48.3902,33.3892,109.822,121.488
carA,1149,63.0388,97.3801,1799.2,1015.57
carB,3222,27.2999,34.6749,1071.44,671.97
caiF,396,4.77109,3.47593,48.4466,32.687
caiE,591,2.07833,2.22221,2.76047,3.86298
caiD,786,1.8925,1.64822,2.23622,2.36521
caiC,1554,2.64439,2.81609,5.93373,7.47304
caiB,1218,4.14355,3.63004,6.20805,9.09658
caiA,1143,8.58983,8.62867,7.47214,10.7622
caiT,1515,1.09992,0.873844,0.447772,0.982279
fixA,771,1.06949,0.7219,0.510095,0.913052
fixB,942,0.669538,0.819479,0.879821,1.01517
fixC,1287,1.0181,0.985675,2.03006,2.35361
fixX,288,0.22407,0.286494,0.086995,0.552077
yaaU,1332,1.53025,1.62184,0.84874,1.6757
kefF,531,12.3244,10.8251,15.4063,15.8451
kefC,1863,8.7025,6.42099,9.44157,10.4569
folA,480,359.222,328.471,78.8222,72.6434
apaH,843,85.1653,87.2439,53.3513,55.8615
apaG,378,63.0904,53.2074,88.294,84.2655
rsmA,822,78.0931,75.039,177.915,163.007
pdxA,990,73.4144,71.9539,134.917,128.048
surA,1287,161.979,135.116,275.308,311.255
lptD,2355,126.317,94.8273,254.937,267.96
djlA,816,32.0611,31.3148,49.2676,60.9624
yabP,651,16.7353,15.9018,10.4499,12.888
yabQ,159,23.6765,13.7994,9.74235,14.7916
rluA,660,15.3808,14.7111,44.5778,31.0169
rapA,2907,16.0833,15.3717,67.1681,50.7967
polB,2352,9.30201,8.66791,9.62709,11.8323
araD,696,1.76524,1.57067,1.44284,2.2128
araA,1503,2.82017,3.09509,2.20657,2.95267
araB,1701,2.14967,2.17289,1.09311,2.20295
araC,879,17.3849,17.5943,10.0852,20.8503
yabI,765,65.2001,62.2957,18.7085,20.7249
thiQ,699,21.0921,22.9465,23.6331,20.0957
thiP,1611,30.701,26.623,54.1666,44.5394
thiB,984,68.3721,52.0129,111.746,86.4163
sroA,93,15.1557,17.0291,21.1296,21.4997
sgrR,1656,9.96551,8.66109,13.3067,18.4874
sgrS,227,14.2719,19.8115,14.9967,15.3952
sgrT,132,0,0,0,0
setA,1179,15.1738,15.2262,6.20016,10.862
leuD,606,18.5361,16.823,64.4071,77.1904
leuC,1401,12.6787,10.3283,67.086,74.5023
leuB,1092,12.1011,9.52789,69.8811,67.3429
leuA,1572,7.52334,6.42161,55.5416,54.6372
leuL,87,12.1418,8.46784,68.8536,79.7751
leuO,945,3.35418,3.32587,1.72749,2.86718
yabR,45,1.05581,0.399984,0,0.57808
ilvI,1725,5.96538,5.35668,60.2319,53.3683
ilvH,492,5.0242000000000004,4.47852,50.5381,44.8229
cra,1005,36.9484,31.5677,78.7485,94.6833
mraZ,459,164.495,149.074,140.519,178.858
rsmH,942,70.2671,57.9587,96.6737,126.67
ftsL,366,43.2738,32.7878,47.9539,73.3264
ftsI,1767,27.9555,25.0284,33.1334,45.979
murE,1488,37.4665,32.832,74.1076,105.045
murF,1359,37.2468,30.1423,129.257,147.036
mraY,1083,23.7908,21.8024,69.0001,81.7621
murD,1317,29.7864,24.9465,64.1701,77.818
ftsW,1245,20.9834,19.3222,39.4073,45.6071
murG,1068,38.0118,37.8226,52.5409,66.8399
murC,1476,45.838,41.5509,113.043,128.674
ddlB,921,44.8272,43.5037,72.0434,83.6975
ftsQ,831,64.1726,64.6849,63.3374,84.761
ftsA,1263,63.3731,63.3712,76.3197,101.738
ftsZ,1152,332.768,257.646,454.925,576.599
lpxC,918,1370.26,1315.89,957.759,1066.36
secM,513,146.93,116.427,265.111,288.008
secA,2706,46.2169,45.3355,194.594,211.574
mutT,390,11.5932,9.92901,22.5052,26.6597
yacG,198,15.0501,15.3019,25.7733,35.8119
zapD,744,42.9608,33.946,90.2734,98.3
coaE,621,22.1233,20.2481,30.7196,33.1327
yacM,45,2.46355,2.5999,1.09311,2.8904
guaC,1044,191.666,145.821,361.75,310.703
hofC,1203,4.80025,4.92073,2.81903,3.77673
hofB,1386,6.50131,6.57969,4.5679,5.55991
ppdD,441,1.57496,1.5194,0.568813,0.902433
nadC,894,22.9541,19.6841,40.2546,48.3404
ampD,552,17.7406,12.4603,21.0498,30.7271
ampE,855,20.1418,12.5958,21.4702,34.5133
aroP,1374,31.707,29.0575,35.7467,40.5161
pdhR,765,158.573,201.695,172.906,184.267
aceE,2664,208.678,183.409,1786.93,1334.57
