target_id	length	eff_length	est_counts	tpm
thrL	66	67	150	56.2871
thrA	2463	2464	33489	341.707
thrB	933	934	9476	255.076
thrC	1287	1288	15887	310.112
yaaX	297	298	387	32.6503
yaaA	777	778	1867	60.3333
yaaJ	1431	1432	476	8.35711
talB	954	955	49754	1309.84
mog	588	589	1588	67.784
satP	567	568	556	24.6104
yaaW	714	715	45	1.58234
mbiA	486	487	0	0
yaaI	405	406	43	2.66278
dnaK	1917	1918	22451	294.292
dnaJ	1131	1132	6154	136.679
insL1	1113	1114	2024	45.6791
mokC	210	211	78	9.29403
hokC	153	154	0	0
sokC	55	56	9	4.04061
nhaA	1167	1168	467	10.0523
nhaR	906	907	698	19.3482
insB1	504	505	1186.14	59.0524
insA1	276	277	153.854	13.9644
rpsT	264	265	21500	2039.79
yaaY	219	220	42	4.79975
ribF	942	943	7859	209.531
ileS	2817	2818	40204	358.691
lspA	495	496	3766	190.893
fkpB	450	451	2771	154.473
ispH	951	952	4500	118.841
rihC	915	916	685	18.8013
dapB	822	823	3595	109.822
carA	1149	1150	82297	1799.2
carB	3222	3223	137352	1071.44
caiF	396	397	765	48.4466
caiE	591	592	65	2.76047
caiD	786	787	70	2.23622
caiC	1554	1555	367	5.93373
caiB	1218	1219	301	6.20805
caiA	1143	1144	340	7.47214
caiT	1515	1516	27	0.447772
fixA	771	772	15.663	0.510095
fixB	942	943	33	0.879821
fixC	1287	1288	104	2.03006
fixX	288	289	1	0.086995
yaaU	1332	1333	45	0.84874
kefF	531	532	326	15.4063
kefC	1863	1864	700	9.44157
folA	480	481	1508	78.8222
apaH	843	844	1791	53.3513
apaG	378	379	1331	88.294
rsmA	822	823	5824	177.915
pdxA	990	991	5318	134.917
surA	1287	1288	14104	275.308
lptD	2355	2356	23890	254.937
djlA	816	817	1601	49.2676
yabP	651	652	271	10.4499
yabQ	159	160	62	9.74235
rluA	660	661	1172	44.5778
rapA	2907	2908	7769	67.1681
polB	2352	2353	901	9.62709
araD	696	697	40	1.44284
araA	1503	1504	132	2.20657
araB	1701	1702	74	1.09311
araC	879	880	353	10.0852
yabI	765	766	570	18.7085
thiQ	699	700	658	23.6331
thiP	1611	1612	3473	54.1666
thiB	984	985	4378	111.746
sroA	93	94	79	21.1296
sgrR	1656	1657	877	13.3067
sgrS	227	228	136	14.9967
sgrT	132	133	0	0
