target_id	length	eff_length	est_counts	tpm
thrL	66	67	165	39.8686
thrA	2463	2464	4040	26.5438
thrB	933	934	1464	25.3756
thrC	1287	1288	2041	25.6537
yaaX	297	298	328	17.8188
yaaA	777	778	1441	29.9852
yaaJ	1431	1432	659	7.45014
talB	954	955	45221	766.582
mog	588	589	1630	44.8017
satP	567	568	1293	36.8529
yaaW	714	715	178	4.03029
mbiA	486	487	0	0
yaaI	405	406	88	3.50896
dnaK	1917	1918	39426	332.779
dnaJ	1131	1132	8842	126.452
insL1	1113	1114	2087.67	30.3388
mokC	210	211	378	29.0022
hokC	153	154	0	0
sokC	55	56	65	18.7909
nhaA	1167	1168	1602	22.2045
nhaR	906	907	1529	27.2912
insB1	504	505	1719.18	55.1127
insA1	276	277	331.626	19.3817
rpsT	264	265	20812	1271.42
yaaY	219	220	81	5.96052
ribF	942	943	8881	152.466
ileS	2817	2818	28568	164.12
lspA	495	496	3680	120.112
fkpB	450	451	1913	68.669
ispH	951	952	2724	46.3225
rihC	915	916	661	11.6823
dapB	822	823	2460	48.3902
carA	1149	1150	4478	63.0388
carB	3222	3223	5435	27.2999
caiF	396	397	117	4.77109
caiE	591	592	76	2.07833
caiD	786	787	92	1.8925
caiC	1554	1555	254	2.64439
caiB	1218	1219	312	4.14355
caiA	1143	1144	607	8.58983
caiT	1515	1516	103	1.09992
fixA	771	772	51	1.06949
fixB	942	943	39	0.669538
fixC	1287	1288	81	1.0181
fixX	288	289	4	0.22407
yaaU	1332	1333	126	1.53025
kefF	531	532	405	12.3244
kefC	1863	1864	1002	8.7025
folA	480	481	10673	359.222
apaH	843	844	4440	85.1653
apaG	378	379	1477	63.0904
rsmA	822	823	3970	78.0931
pdxA	990	991	4494	73.4144
surA	1287	1288	12887	161.979
lptD	2355	2356	18383	126.317
djlA	816	817	1618	32.0611
yabP	651	652	674	16.7353
yabQ	159	160	234	23.6765
rluA	660	661	628	15.3808
rapA	2907	2908	2889	16.0833
polB	2352	2353	1352	9.30201
araD	696	697	76	1.76524
araA	1503	1504	262	2.82017
araB	1701	1702	226	2.14967
araC	879	880	945	17.3849
yabI	765	766	3085	65.2001
thiQ	699	700	912	21.0921
thiP	1611	1612	3057	30.701
thiB	984	985	4160	68.3721
sroA	93	94	88	15.1557
sgrR	1656	1657	1020	9.96551
sgrS	227	228	201	14.2719
sgrT	132	133	0	0
setA	1179	1180	1106	15.1738
leuD	606	607	695	18.5361
leuC	1401	1402	1098	12.6787
leuB	1092	1093	817	12.1011
leuA	1572	1573	731	7.52334
leuL	87	88	66	12.1418
leuO	945	946	196	3.35418
yabR	45	46	3	1.05581
ilvI	1725	1726	636	5.96538
ilvH	492	493	153	5.0242
cra	1005	1006	2296	36.9484
mraZ	459	460	4674	164.495
rsmH	942	943	4093	70.2671
ftsL	366	367	981	43.2738
ftsI	1767	1768	3053	27.9555
murE	1488	1489	3446	37.4665
murF	1359	1360	3129	37.2468
mraY	1083	1084	1593	23.7908
murD	1317	1318	2425	29.7864
ftsW	1245	1246	1615	20.9834
murG	1068	1069	2510	38.0118
murC	1476	1477	4182	45.838
ddlB	921	922	2553	44.8272
ftsQ	831	832	3298	64.1726
ftsA	1263	1264	4948	63.3731
ftsZ	1152	1153	23700	332.768
lpxC	918	919	77785	1370.26
secM	513	514	4665	146.93
secA	2706	2707	7728	46.2169
mutT	390	391	280	11.5932
yacG	198	199	185	15.0501
zapD	744	745	1977	42.9608
coaE	621	622	850	22.1233
yacM	45	46	7	2.46355
guaC	1044	1045	12372	191.666
hofC	1203	1204	357	4.80025
hofB	1386	1387	557	6.50131
ppdD	441	442	43	1.57496
nadC	894	895	1269	22.9541
ampD	552	553	606	17.7406
ampE	855	856	1065	20.1418
aroP	1374	1375	2693	31.707
pdhR	765	766	7503	158.573
aceE	2664	2665	34352	208.678
aceF	1893	1894	11272	96.3481
lpd	1425	1426	37534	426.116
yacH	1854	1855	615	5.36727
acnB	2598	2599	102068	635.778
yacL	363	364	525	23.3496
speD	795	796	2412	49.0553
speE	867	868	5043	94.057
yacC	348	349	1274	59.0971
cueO	1551	1552	2660	27.7467
gcd	2391	2392	20180	136.578
hpt	537	538	1280	38.5168
can	663	664	7468	182.078
yadG	927	928	1989	34.6984
yadH	771	772	1285	26.9468
yadI	441	442	305	11.1712
yadE	1230	1231	2664	35.0347
panD	381	382	5244	222.24
rpnC	903	904	577	10.3331
panC	852	853	7286	138.281
panB	795	796	8543	173.748
yadC	1239	1240	192	2.5067
yadK	597	598	51	1.38067
yadL	606	607	103	2.74708
yadM	570	571	36	1.02068
htrE	2598	2599	202	1.25825
yadV	741	742	66	1.44
yadN	585	586	24	0.663034
folK	480	481	530	17.8383
pcnB	1398	1399	11303	130.797
gluQ	927	928	1889	32.9538
dksA	456	457	15145	536.507
sfsA	705	706	3410	78.1937
thpR	531	532	433	13.1764
hrpB	2430	2431	3844	25.5988
mrcB	2535	2536	7948	50.7377
fhuA	2244	2245	7741	55.8217
fhuC	798	799	686	13.8995
fhuD	891	892	558	10.1272
fhuB	1983	1984	3737	30.4932
hemL	1281	1282	58202	734.974
yadX	48	49	160	52.8623
clcA	1422	1423	4186	47.623
yadW	66	67	0	0
erpA	345	346	4668	218.412
yadS	624	625	764	19.7895
btuF	801	802	1070	21.5989
mtn	699	700	6112	141.354
dgt	1518	1519	1751	18.6617
degP	1425	1426	40392	458.562
cdaR	1158	1159	438	6.11805
yaeH	387	388	1537	64.1304
yaeI	813	814	368	7.31889
dapD	825	826	6716	131.629
glnD	2673	2674	6319	38.2568
map	795	796	5989	121.804
tff	136	137	7445	879.764
rpsB	726	727	114802	2556.45
tsf	852	853	28454	540.028
pyrH	726	727	6853	152.605
frr	558	559	14234	412.228
dxr	1197	1198	1840	24.8647
uppS	762	763	9802	207.976
cdsA	858	859	3837	72.3137
rseP	1353	1354	13875	165.896
bamA	2433	2434	41812	278.101
skp	486	487	16451	546.872
lpxD	1026	1027	25182	396.955
fabZ	456	457	6601.59	233.859
lpxA	789	790	28559	585.245
lpxB	1149	1150	7503	105.623
rnhB	597	598	2107	57.0408
dnaE	3483	3484	10078	46.8294
accA	960	961	7721	130.069
ldcC	2142	2143	1643	12.4119
yaeR	390	391	680	28.1549
tilS	1299	1300	2304	28.692
rof	255	256	1157	73.167
yaeP	201	202	713	57.1426
yaeQ	546	547	882	26.1038
arfB	423	424	857	32.7218
nlpE	711	712	1760	40.0179
yaeF	825	826	611	11.9752
proS	1719	1720	13289	125.079
trmO	708	709	1146	26.1674
rcsF	405	406	1788	71.2957
metQ	816	817	4322	85.6416
metI	654	655	1034	25.5565
metN	1032	1033	2076	32.5349
gmhB	576	577	2896	81.254
rrsH	1542	1543	11815.4	123.966
ileV	77	78	6735.33	1397.93
alaV	76	77	6323.86	1329.58
rrlH	2904	2905	35581.8	198.292
rrfH	120	121	15.3886	2.0589
aspU	77	78	3619	751.132
dkgB	804	805	2584	51.9659
yafC	915	916	586	10.3568
yafD	801	802	2677	54.0376
yafE	624	625	474	12.2778
mltD	1359	1360	44531	530.085
gloB	756	757	798	17.0659
yafS	723	724	596	13.3269
rnhA	468	469	527	18.1911
dnaQ	732	733	2659	58.7268
aspV	77	78	3619	751.132
yafT	786	787	107	2.20106
ykfM	480	481	16	0.538514
yafV	771	772	1188	24.9127
ivy	474	475	5044	171.911
fadE	2445	2446	1999	13.2306
gmhA	579	580	7218	201.47
yafJ	768	769	2749	57.8723
ldtF	741	742	3114	67.9417
yafQ	279	280	831	48.0469
dinJ	261	262	2734	168.935
yafL	750	751	144	3.10416
rayT	498	499	149	4.83401
dinB	1056	1057	894	13.6926
yafN	294	295	189	10.372
yafO	399	400	89	3.60207
yafP	453	454	107	3.81549
pepD	1458	1459	8634	95.8029
gpt	459	460	3854	135.636
frsA	1245	1246	3364	43.7079
insB9	504	505	1719.18	55.1127
insA9	276	277	331.626	19.3817
phoE	1056	1057	724	11.0888
proB	1104	1105	4928	72.1989
proA	1254	1255	4493	57.9582
thrW	76	77	1060.02	222.867
ykfI	342	343	1853	87.4588
yafW	318	319	355	18.0161
ykfH	222	223	111	8.05824
ykfG	477	478	482	16.3245
